Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Poland,23/03/2020,20127,https://twitter.com/MZ_GOV_PL/status/1242043480538591233,Ministerstwo Zdrowia,23/03/2020,,,
Poland,22/03/2020,17607,https://twitter.com/MZ_GOV_PL/status/1241697832773603335,Ministerstwo Zdrowia,22/03/2020,,,
Poland,21/03/2020,15084,https://twitter.com/MZ_GOV_PL/status/1241363401265287168,Ministerstwo Zdrowia,21/03/2020,,,
Poland,20/03/2020,13072,https://twitter.com/MZ_GOV_PL/status/1240971146054557696,Ministerstwo Zdrowia,20/03/2020,,,
Poland,19/03/2020,11196,https://twitter.com/MZ_GOV_PL/status/1240581114009473024,Ministerstwo Zdrowia,19/03/2020,,,
Poland,18/03/2020,9515,https://twitter.com/MZ_GOV_PL/status/1240220422597234689,Ministerstwo Zdrowia,18/03/2020,,,
Poland,17/03/2020,7899,https://twitter.com/MZ_GOV_PL/status/1239860916688162818,Ministerstwo Zdrowia,17/03/2020,,,
Poland,15/03/2020,5493,https://twitter.com/MZ_GOV_PL/status/1239140679307141121,Ministerstwo Zdrowia,15/03/2020,,,
Poland,14/03/2020,4414,https://twitter.com/MZ_GOV_PL/status/1238804664658919425,Ministerstwo Zdrowia,14/03/2020,,,
Poland,13/03/2020,2889,https://twitter.com/MZ_GOV_PL/status/1238381192199786497,Ministerstwo Zdrowia,13/03/2020,,,
Poland,12/03/2020,2234,https://twitter.com/MZ_GOV_PL/status/1238052046504366080,Ministerstwo Zdrowia,12/03/2020,,,
Poland,11/03/2020,2024,https://twitter.com/MZ_GOV_PL/status/1237664051418796032,Ministerstwo Zdrowia,11/03/2020,,,
Poland,10/03/2020,1630,https://twitter.com/MZ_GOV_PL/status/1237290794668773377,Ministerstwo Zdrowia,10/03/2020,,,
Poland,09/03/2020,1384,https://twitter.com/MZ_GOV_PL/status/1237023964033175553,Ministerstwo Zdrowia,09/03/2020,,,
Poland,08/03/2020,1154,https://twitter.com/MZ_GOV_PL/status/1236628432676675585,Ministerstwo Zdrowia,08/03/2020,,,
Poland,06/03/2020,855,https://twitter.com/MZ_GOV_PL/status/1235888690813186048,Ministerstwo Zdrowia,06/03/2020,,,
Poland,05/03/2020,676,https://twitter.com/MZ_GOV_PL/status/1235499713199136769,Ministerstwo Zdrowia,05/03/2020,,,
Poland,04/03/2020,584,https://twitter.com/MZ_GOV_PL/status/1235125575498502144,Ministerstwo Zdrowia,04/03/2020,,,
Poland,03/03/2020,559,https://twitter.com/MZ_GOV_PL/status/1234835829559889921,Ministerstwo Zdrowia,03/03/2020,,,